Date,Close,High,Low,Open,Volume
2010-01-04,56.7115364074707,56.83950636543787,54.96262851930339,55.453178166004534,2056253
2010-01-05,57.70684814453125,57.87036840515107,56.73997458633305,56.86083447817268,2572865
2010-01-06,57.991207122802734,58.538631519574125,56.64753970407872,57.728162802002196,1972375
2010-01-07,58.46754837036133,58.58129819323565,57.60731463780948,57.84192434455257,2035501
2010-01-08,57.6641960144043,58.72349484401122,57.12388150691343,58.581304761217126,817006
2010-01-11,57.813480377197266,58.29691988153726,57.05278197104074,57.05278197104074,582601
2010-01-12,56.70442199707031,58.42489508292303,56.61200235480337,57.79927104103049,1286849
2010-01-13,56.149898529052734,57.13099226747069,55.68778911909848,56.00770844451952,2337843
2010-01-14,55.89394760131836,56.96746635625004,55.55269815745767,56.44848212998049,2848616
2010-01-15,54.7635612487793,56.29918379475255,54.60004658215247,56.16410937093989,3827205
2010-01-18,55.73043441772461,56.02191902248328,54.045511758657966,54.31566618141545,2766438
2010-01-19,56.29207992553711,56.87504914441411,55.822860526123016,55.822860526123016,1329104
2010-01-20,57.23051452636719,57.514889054164904,56.43426027201571,56.43426027201571,2393896
2010-01-21,56.33474349975586,57.28739699220545,55.92239894576336,56.87505801473208,1498949
2010-01-22,55.481605529785156,56.803954152608625,54.60004721659386,55.538480439556146,2641291
2010-01-25,55.460289001464844,56.021928120188626,54.799114593756286,54.8275548410431,1763318
2010-01-27,52.93644714355469,56.10012294238379,51.912698806192516,55.168794238728104,2795503
2010-01-28,53.02175521850586,54.443627719564546,52.054876341268645,53.3203442613402,7175207
2010-01-29,55.51004409790039,56.725747348765616,51.15910526693251,53.178167291136276,7067142
2010-02-01,57.50067138671875,57.74239113978844,54.863089861159274,55.31097906448365,2873347
2010-02-02,57.4224739074707,58.58130240246224,56.946144398764496,57.44380409198668,3786780
2010-02-03,57.109642028808594,58.225815397956936,56.90347261279916,58.225815397956936,1718559
2010-02-04,55.97215270996094,57.01723122335006,55.66644799186614,56.7328566866984,1466748
2010-02-05,54.20191955566406,55.232783612285424,53.76114038049466,54.74934407060144,1186340
2010-02-08,55.2612190246582,55.65934341519555,53.87489093069977,54.173485617732425,1644000
2010-02-09,55.09059143066406,55.45317107302069,54.72801178830744,54.791996759106745,1086459
2010-02-10,54.34410095214844,55.879728912138134,54.07394655659293,55.879728912138134,1516786
2010-02-11,54.72801208496094,55.02660675813679,54.351217895454056,54.88442227065963,947720
2010-02-15,54.32277297973633,55.794416036484506,54.04550851296286,55.45316660406826,724470
2010-02-16,54.84175109863281,55.28253574894472,53.107063888221724,54.31565688794907,1460985
2010-02-17,54.35832977294922,55.5811431734069,53.97441993324223,55.15457854368308,1489654
2010-02-18,53.889102935791016,54.884416550470384,53.633163077881164,54.855976310028076,1297947
2010-02-19,54.04551315307617,54.84887195792705,53.057309495667056,53.604733992491255,1454591
2010-02-22,54.436527252197266,55.16879659872754,53.647388572121066,55.15457647708191,1057368
